[18:15:13] __________ a gagné contre Origine ( 40 )
[19:16:43] Alexis a perdu contre Armand ( -40 )
[19:16:43] Armand a gagné contre Alexis ( 44 )
[19:22:50] Armand a perdu contre Benmanga ( -40 )
[19:22:50] Benmanga a gagné contre Armand ( 37 )
[19:29:09] Armand a perdu contre Benmanga ( -40 )
[19:29:09] Benmanga a gagné contre Armand ( 29 )
[19:32:33] Armand a perdu contre Kiaraa ( -40 )
[19:32:33] Kiaraa a gagné contre Armand ( 36 )
[19:33:53] Benmanga a gagné contre redouane1996 ( 31 )
[19:33:54] redouane1996 a perdu contre Benmanga ( -40 )
[19:35:35] Lioneel a perdu contre Armand ( -40 )
[19:35:35] Armand a gagné contre Lioneel ( 28 )
[19:38:37] Armand a gagné contre Lioneel ( 32 )
[19:38:37] Lioneel a perdu contre Armand ( -40 )
[19:39:25] redouane1996 a perdu contre Kiaraa ( -40 )
[19:39:25] Kiaraa a gagné contre redouane1996 ( 37 )
[19:41:03] Lioneel a perdu contre Armand ( -40 )
[19:41:04] Armand a gagné contre Lioneel ( 43 )
[19:41:11] Kiaraa a gagné contre redouane1996 ( 43 )
[19:44:48] Armand a gagné contre Lioneel ( 32 )
[19:44:48] Lioneel a perdu contre Armand ( -40 )
[19:48:33] Benmanga a gagné contre redouane1996 ( 32 )
[19:55:32] Benmanga a fait match nul contre Armand
[19:55:32] Armand a fait match nul contre Benmanga
[19:59:00] redouane1996 a perdu contre Armand ( -40 )
[19:59:00] Armand a gagné contre redouane1996 ( 47 )
[20:01:44] redouane1996 a perdu contre Armand ( -40 )
[20:01:44] Armand a gagné contre redouane1996 ( 36 )
[20:03:22] redouane1996 a perdu contre Armand ( -40 )
[20:03:22] Armand a gagné contre redouane1996 ( 50 )
[20:13:00] AbdulLeKetur a gagné contre NiiN ( 36 )
[20:13:00] NiiN a perdu contre AbdulLeKetur ( -40 )
[20:16:30] AbdulLeKetur a gagné contre NiiN ( 29 )
[20:16:31] NiiN a perdu contre AbdulLeKetur ( -40 )
[20:20:33] AbdulLeKetur a fait match nul contre NiiN
[20:20:33] NiiN a fait match nul contre AbdulLeKetur
[20:37:41] redouane1996 a perdu contre AbdulLeKetur ( -40 )
[20:37:41] AbdulLeKetur a gagné contre redouane1996 ( 39 )
[20:41:15] AbdulLeKetur a gagné contre redouane1996 ( 39 )
[20:41:15] redouane1996 a perdu contre AbdulLeKetur ( -40 )
[20:44:28] AbdulLeKetur a gagné contre redouane1996 ( 38 )
[20:47:54] Benmanga a gagné contre redouane1996 ( 40 )
[20:57:03] AbdulLeKetur a perdu contre LOSER ( -40 )
[20:57:03] LOSER a gagné contre AbdulLeKetur ( 32 )
[20:57:38] Benmanga a perdu contre redouane1996 ( -40 )
[20:57:38] redouane1996 a gagné contre Benmanga ( 35 )
[21:01:14] AbdulLeKetur a gagné contre Robin ( 31 )
[21:01:14] Robin a perdu contre AbdulLeKetur ( -40 )
[21:07:39] AbdulLeKetur a gagné contre redouane1996 ( 38 )
[21:07:39] redouane1996 a perdu contre AbdulLeKetur ( -40 )
[21:07:43] Benmanga a perdu contre Robin ( -40 )
[21:07:43] Robin a gagné contre Benmanga ( 32 )
[21:11:08] AbdulLeKetur a gagné contre redouane1996 ( 37 )
[21:12:32] Benmanga a perdu contre Robin ( -40 )
[21:12:32] Robin a gagné contre Benmanga ( 28 )
[21:12:56] AbdulLeKetur a gagné contre redouane1996 ( 39 )
[21:12:56] redouane1996 a perdu contre AbdulLeKetur ( -40 )
[21:14:59] AbdulLeKetur a gagné contre redouane1996 ( 44 )
[21:14:59] redouane1996 a perdu contre AbdulLeKetur ( -40 )
