[01:13:17] PouletTeriyaki a gagné contre CRISS ( 39 )
[01:20:14] Ptidark a gagné contre Kinder ( 41 )
[01:20:14] Kinder a perdu contre Ptidark ( -40 )
[14:33:59] Armand a perdu contre chat_sauvage ( -40 )
[14:33:59] chat_sauvage a gagné contre Armand ( 34 )
[14:35:34] Armand a fait match nul contre chat_sauvage
[14:35:34] chat_sauvage a fait match nul contre Armand
[14:39:36] Armand a perdu contre chat_sauvage ( -40 )
[14:39:36] chat_sauvage a gagné contre Armand ( 30 )
[14:41:39] Armand a perdu contre chat_sauvage ( -40 )
[14:41:39] chat_sauvage a gagné contre Armand ( 32 )
[14:45:22] Armand a perdu contre chat_sauvage ( -40 )
[14:45:22] chat_sauvage a gagné contre Armand ( 31 )
[15:55:49] alonzodono a perdu contre Land ( -40 )
[15:55:49] Land a gagné contre alonzodono ( 32 )
[15:57:34] alonzodono a gagné contre Land ( 32 )
[15:57:34] Land a perdu contre alonzodono ( -40 )
[16:00:13] alonzodono a gagné contre Land ( 39 )
[16:00:13] Land a perdu contre alonzodono ( -40 )
[16:14:25] alonzodono a perdu contre Ptidark ( -40 )
[16:14:28] Ptidark a gagné contre alonzodono ( 34 )
[17:16:27] Armand a gagné contre MrGreen ( 46 )
[18:43:21] Callofman a perdu contre Kinder ( -40 )
[18:43:21] Kinder a gagné contre Callofman ( 41 )
[18:52:42] Luffy a perdu contre TonyBoss ( -40 )
[18:52:42] TonyBoss a gagné contre Luffy ( 45 )
[18:55:45] TonyBoss a gagné contre Luffy ( 32 )
[18:55:45] Luffy a perdu contre TonyBoss ( -40 )
[18:59:40] TonyBoss a gagné contre Luffy ( 29 )
[18:59:40] Luffy a perdu contre TonyBoss ( -40 )
[19:03:49] Callofman a gagné contre Kinder ( 54 )
[19:03:50] Kinder a perdu contre Callofman ( -40 )
[19:10:33] Kinder a perdu contre YHOAN ( -40 )
[19:10:33] YHOAN a gagné contre Kinder ( 44 )
[19:12:09] Callofman a perdu contre Punks ( -40 )
[19:12:09] Punks a gagné contre Callofman ( 38 )
[19:19:02] Callofman a perdu contre Simon ( -40 )
[19:19:02] Simon a gagné contre Callofman ( 34 )
[19:20:44] Callofman a perdu contre Simon ( -40 )
[19:20:44] Simon a gagné contre Callofman ( 52 )
[19:21:53] Callofman a perdu contre Simon ( -40 )
[19:21:53] Simon a gagné contre Callofman ( 56 )
[19:26:37] Callofman a perdu contre Simon ( -40 )
[19:26:37] Simon a gagné contre Callofman ( 50 )
[19:38:25] sarite a perdu contre Simon ( -40 )
[19:38:25] Simon a gagné contre sarite ( 29 )
[19:40:19] sarite a perdu contre Simon ( -40 )
[19:40:20] Simon a gagné contre sarite ( 39 )
[19:58:25] Callofman a gagné contre YHOAN ( 30 )
[20:01:51] LOIC a perdu contre Simon ( -40 )
[20:01:51] Simon a gagné contre LOIC ( 41 )
[20:02:59] Fundye a gagné contre Taze ( 42 )
[20:04:55] LOIC a gagné contre Simon ( 34 )
[20:04:55] Simon a perdu contre LOIC ( -40 )
[20:31:08] TonyBoss a gagné contre Luffy ( 40 )
[20:31:50] TonyBoss a gagné contre Luffy ( 50 )
[20:33:25] TonyBoss a gagné contre Luffy ( 53 )
[20:35:19] TonyBoss a gagné contre Luffy ( 38 )
[21:16:09] Callofman a gagné contre Kinder ( 29 )
[21:45:02] Armand a gagné contre alonzodono ( 28 )
[21:45:02] alonzodono a perdu contre Armand ( -40 )
[21:47:48] alonzodono a gagné contre Armand ( 31 )
[21:47:48] Armand a perdu contre alonzodono ( -40 )
[21:49:33] alonzodono a gagné contre Armand ( 38 )
[22:14:07] alonzodono a gagné contre Callofman ( 41 )
[22:14:07] Callofman a perdu contre alonzodono ( -40 )
[22:30:22] Ptidark a gagné contre Weezy ( 37 )
[22:30:22] Weezy a perdu contre Ptidark ( -40 )
[22:46:46] Kiyuu a perdu contre PAUUW ( -40 )
[22:46:46] PAUUW a gagné contre Kiyuu ( 46 )
[22:51:03] alonzodono a perdu contre Ptidark ( -40 )
[22:51:03] Ptidark a gagné contre alonzodono ( 32 )
[22:52:58] Ptidark a gagné contre alonzodono ( 40 )
[23:59:23] BizouZ a perdu contre Simon ( -40 )
[23:59:23] Simon a gagné contre BizouZ ( 36 )
