[00:58:07]  Jack a quitte la partie contre Yanisse ( -60 )
[00:58:10]  Yanisse a quitte la partie contre Jack ( -60 )
[01:14:58]  Yanisse a perdu contre Jack ( -40 )
[01:14:58]  Jack a gagne contre Yanisse ( 46 )
[01:14:58]  Yanisse a perdu contre Jack ( -40 )
[01:14:58]  Jack a gagne contre Yanisse ( 46 )
[01:31:29]  Jack a perdu contre EliE ( -40 )
[01:31:29]  EliE a gagne contre Jack ( 29 )
[01:14:58]  Yanisse a perdu contre Jack ( -40 )
[01:14:58]  Jack a gagne contre Yanisse ( 46 )
[01:31:29]  Jack a perdu contre EliE ( -40 )
[01:31:29]  EliE a gagne contre Jack ( 29 )
[01:36:16]  Jack a perdu contre EliE ( -40 )
[01:36:16]  EliE a gagne contre Jack ( 31 )
[01:41:17]  Jack a gagne contre EliE ( 39 )
[01:41:17]  EliE a perdu contre Jack ( -40 )
[01:14:58]  Yanisse a perdu contre Jack ( -40 )
[01:14:58]  Jack a gagne contre Yanisse ( 46 )
[01:31:29]  Jack a perdu contre EliE ( -40 )
[01:31:29]  EliE a gagne contre Jack ( 29 )
[01:36:16]  Jack a perdu contre EliE ( -40 )
[01:36:16]  EliE a gagne contre Jack ( 31 )
[01:41:17]  Jack a gagne contre EliE ( 39 )
[01:41:17]  EliE a perdu contre Jack ( -40 )
[01:46:59]  EliE a gagne contre Lionel ( 43 )
[01:46:59]  Lionel a perdu contre EliE ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[02:39:59]  Jordan442 a gagne contre Mathieu ( 31 )
[02:39:59]  Mathieu a perdu contre Jordan442 ( -40 )
[02:41:29]  Jordan442 a gagne contre Mathieu ( 47 )
[02:41:29]  Mathieu a perdu contre Jordan442 ( -40 )
[02:44:20]  Jordan442 a fait match nul contre Mathieu
[02:44:20]  Mathieu a fait match nul contre Jordan442
[02:47:31]  Jordan442 a gagne contre Mathieu ( 34 )
[02:47:31]  Mathieu a perdu contre Jordan442 ( -40 )
[14:38:47]  Jordan442 a gagne contre Jack ( 26 )
[14:38:47]  Jack a perdu contre Jordan442 ( -40 )
[14:38:47]  Jordan442 a gagne contre Jack ( 26 )
[14:38:47]  Jack a perdu contre Jordan442 ( -40 )
[14:38:47]  Jordan442 a gagne contre Jack ( 26 )
[14:38:47]  Jack a perdu contre Jordan442 ( -40 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[17:21:54]  LasVegaS a perdu contre Jack ( -40 )
[17:21:54]  Jack a gagne contre LasVegaS ( 33 )
[17:26:47]  Elliot a perdu contre Jack ( -40 )
[17:26:47]  Jack a gagne contre Elliot ( 56 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[17:21:54]  LasVegaS a perdu contre Jack ( -40 )
[17:21:54]  Jack a gagne contre LasVegaS ( 33 )
[17:26:47]  Elliot a perdu contre Jack ( -40 )
[17:26:47]  Jack a gagne contre Elliot ( 56 )
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[17:21:54]  LasVegaS a perdu contre Jack ( -40 )
[17:21:54]  Jack a gagne contre LasVegaS ( 33 )
[17:26:47]  Elliot a perdu contre Jack ( -40 )
[17:26:47]  Jack a gagne contre Elliot ( 56 )
[17:42:11]  Jack a fait match nul contre Hedley
[17:42:11]  Hedley a fait match nul contre Jack
[15:51:28]  Jack a gagne contre EliE ( 40 )
[15:51:28]  EliE a perdu contre Jack ( -40 )
[16:45:22]  -Clemouille- a quitte la partie contre Quentin74 ( -60 )
[16:45:22]  Quentin74 a gagne contre -Clemouille- ( 52 )
[17:21:54]  LasVegaS a perdu contre Jack ( -40 )
[17:21:54]  Jack a gagne contre LasVegaS ( 33 )
[17:26:47]  Elliot a perdu contre Jack ( -40 )
[17:26:47]  Jack a gagne contre Elliot ( 56 )
[17:42:11]  Jack a fait match nul contre Hedley
[17:42:11]  Hedley a fait match nul contre Jack
[18:29:24]  ALEXX a gagne contre Elliot ( 40 )
[18:29:24]  Elliot a perdu contre ALEXX ( -40 )
[18:29:58]  Elliot a quitte la partie contre ALEXX ( -60 )
[18:29:58]  ALEXX a gagne contre Elliot ( 32 )
[18:29:24]  ALEXX a gagne contre Elliot ( 40 )
[18:29:24]  Elliot a perdu contre ALEXX ( -40 )
[18:29:58]  Elliot a quitte la partie contre ALEXX ( -60 )
[18:29:58]  ALEXX a gagne contre Elliot ( 32 )
[20:54:03]  Jack a gagne contre Mathieu ( 40 )
[20:54:03]  Mathieu a perdu contre Jack ( -40 )
[21:12:27]  LasVegaS a gagne contre Jack ( 37 )
[21:12:27]  Jack a perdu contre LasVegaS ( -40 )
[21:15:24]  LasVegaS a gagne contre Jack ( 34 )
[21:15:24]  Jack a perdu contre LasVegaS ( -40 )
[21:12:27]  LasVegaS a gagne contre Jack ( 37 )
[21:12:27]  Jack a perdu contre LasVegaS ( -40 )
[21:15:24]  LasVegaS a gagne contre Jack ( 34 )
[21:15:24]  Jack a perdu contre LasVegaS ( -40 )
[21:18:51]  LasVegaS a gagne contre Jack ( 37 )
[21:18:51]  Jack a perdu contre LasVegaS ( -40 )
[21:12:27]  LasVegaS a gagne contre Jack ( 37 )
[21:12:27]  Jack a perdu contre LasVegaS ( -40 )
[21:15:24]  LasVegaS a gagne contre Jack ( 34 )
[21:15:24]  Jack a perdu contre LasVegaS ( -40 )
[21:18:51]  LasVegaS a gagne contre Jack ( 37 )
[21:18:51]  Jack a perdu contre LasVegaS ( -40 )
[21:12:27]  LasVegaS a gagne contre Jack ( 37 )
[21:12:27]  Jack a perdu contre LasVegaS ( -40 )
